file,baseline,finetuned
농림.축산지원/5350073/1994/5350073-1994-0001-1376.json,0.2692,0.5345
농림.축산지원/5350073/1994/5350073-1994-0001-1388.json,0.4062,0.6038
농림.축산지원/5350073/1994/5350073-1994-0001-1401.json,0.2894,0.5094
농림.축산지원/5350073/1994/5350073-1994-0001-1455.json,0.4658,0.6896
농림.축산지원/5350073/1994/5350073-1994-0001-1468.json,0.4009,0.5947
농림.축산지원/5350073/1994/5350073-1994-0001-1475.json,0.4768,0.7189
농림.축산지원/5350073/1995/5350073-1995-0001-1712.json,0.5308,0.6497
농림.축산지원/5350073/1995/5350073-1995-0001-1728.json,0.4615,0.6408
농림.축산지원/5350073/1995/5350073-1995-0001-1750.json,0.3964,0.6356
농림.축산지원/5350073/1995/5350073-1995-0001-1767.json,0.4055,0.6674
농림.축산지원/5350073/1995/5350073-1995-0001-1775.json,0.4911,0.7436
농림.축산지원/5350073/1995/5350073-1995-0001-1801.json,0.4198,0.5214
농림.축산지원/5350073/1995/5350073-1995-0001-1802.json,0.5364,0.7924
농림.축산지원/5350073/1995/5350073-1995-0001-1863.json,0.5554,0.5317
농림.축산지원/5350073/1996/5350073-1996-0001-1347.json,0.4908,0.6071
농림.축산지원/5350073/1996/5350073-1996-0001-1360.json,0.4983,0.6399
농림.축산지원/5350073/1996/5350073-1996-0001-1368.json,0.5099,0.6023
농림.축산지원/5350073/1996/5350073-1996-0001-1396.json,0.5225,0.6338
농림.축산지원/5350073/1996/5350073-1996-0001-1439.json,0.5705,0.656
농림.축산지원/5350073/1996/5350073-1996-0001-1455.json,0.3225,0.6671
농림.축산지원/5350073/1997/5350073-1997-0001-0859.json,0.4286,0.596
농림.축산지원/5350073/1997/5350073-1997-0001-0877.json,0.4635,0.6789
농림.축산지원/5350073/1997/5350073-1997-0001-0885.json,0.4979,0.7966
농림.축산지원/5350073/1997/5350073-1997-0001-0900.json,0.3469,0.6946
농림.축산지원/5350073/1997/5350073-1997-0001-0903.json,0.3741,0.7747
도시개발/5350104/2003/5350104-2003-0001-0242.json,0.5583,0.5791
도시개발/5350104/2005/5350104-2005-0001-0652.json,0.705,0.5677
도시개발/5350112/1995/5350112-1995-0001-0548.json,0.5501,0.6703
도시개발/5350112/1995/5350112-1995-0001-0549.json,0.3388,0.6116
도시개발/5350112/1995/5350112-1995-0001-0563.json,0.4974,0.6638
도시개발/5350112/1995/5350112-1995-0001-0584.json,0.5461,0.8333
도시개발/5350112/1995/5350112-1995-0001-0594.json,0.4914,0.7538
도시개발/5350112/1996/5350112-1996-0001-1513.json,0.3838,0.6156
도시개발/5350112/1996/5350112-1996-0001-1536.json,0.2234,0.3023
도시개발/5350112/1996/5350112-1996-0001-1562.json,0.4625,0.8279
도시개발/5350112/1996/5350112-1996-0001-1571.json,0.4719,0.5985
도시개발/5350112/1996/5350112-1996-0001-1602.json,0.4471,0.6063
도시개발/5350112/1996/5350112-1996-0001-1638.json,0.2046,0.2525
도시개발/5350112/1997/5350112-1997-0001-0335.json,0.3136,0.8391
도시개발/5350112/1997/5350112-1997-0001-0344.json,0.557,0.7098
도시개발/5350112/1997/5350112-1997-0001-0368.json,0.2359,0.813
도시개발/5350112/2000/5350112-2000-0001-1248.json,0.4075,0.6745
도시개발/5350112/2000/5350112-2000-0001-1258.json,0.2938,0.5978
도시개발/5350112/2000/5350112-2000-0001-1292.json,0.2939,0.8588
도시개발/5350112/2000/5350112-2000-0001-1341.json,0.4328,0.5883
도시개발/5350112/2000/5350112-2000-0001-1364.json,0.4609,0.6831
도시개발/5350112/2003/5350112-2003-0001-1954.json,0.4201,0.6429
도시개발/5350112/2003/5350112-2003-0001-2008.json,0.4546,0.641
도시개발/5350112/2003/5350112-2003-0001-2021.json,0.4302,0.7401
도시개발/5350112/2003/5350112-2003-0001-2072.json,0.5395,0.769
도시개발/5350112/2003/5350112-2003-0001-2090.json,0.4269,0.7683
도시개발/5350112/2003/5350112-2003-0001-2091.json,0.3763,0.7709
도시개발/5350112/2003/5350112-2003-0001-2114.json,0.5472,0.698
도시개발/5350112/2003/5350112-2003-0001-2149.json,0.5176,0.6242
도시개발/5350154/2013/5350154-2013-0001-0035.json,0.2671,0.5419
도시개발/5350207/2011/5350207-2011-0001-0070.json,0.5838,0.7978
도시개발/5350207/2011/5350207-2011-0001-0071.json,0.2235,0.6367
도시개발/5350249/1994/5350249-1994-0001-0422.json,0.3841,0.647
도시개발/5350249/1996/5350249-1996-0001-0426.json,0.3719,0.7268
도시개발/5350249/1997/5350249-1997-0001-0451.json,0.4752,0.7669
도시개발/5350249/1997/5350249-1997-0001-0459.json,0.5584,0.7366
도시개발/5350249/1997/5350249-1997-0001-0460.json,0.4941,0.7361
도시개발/5350249/1998/5350249-1998-0001-0440.json,0.3932,0.806
도시개발/5350249/1999/5350249-1999-0001-0259.json,0.2743,0.7589
도시개발/5350249/1999/5350249-1999-0001-0266.json,0.4425,0.6346
도시개발/5350249/1999/5350249-1999-0001-0272.json,0.5235,0.7016
도시개발/5350249/2001/5350249-2001-0001-0353.json,0.3863,0.6467
도시개발/5350249/2001/5350249-2001-0001-0357.json,0.3557,0.7252
도시개발/5350249/2001/5350249-2001-0001-0370.json,0.0706,0.2104
도시개발/5350249/2002/5350249-2002-0001-0372.json,0.358,0.71
도시개발/5350249/2002/5350249-2002-0001-0373.json,0.3236,0.7087
도시개발/5350249/2002/5350249-2002-0001-0378.json,0.26,0.7027
도시개발/5350249/2003/5350249-2003-0001-0678.json,0.1692,0.7927
도시개발/5350249/2003/5350249-2003-0001-0693.json,0.2364,0.8808
도시개발/5350249/2003/5350249-2003-0001-0704.json,0.4709,0.7067
도시개발/5350249/2003/5350249-2003-0001-0707.json,0.1066,0.8262
도시개발/5350268/2002/5350268-2002-0001-0018.json,0.3125,0.83
도시개발/5350268/2003/5350268-2003-0001-0188.json,0.2843,0.7583
도시개발/5350268/2003/5350268-2003-0001-0204.json,0.3708,0.7234
도시개발/9931790/1994/9931790-1994-0001-0197.json,0.2246,0.865
도시개발/9931790/1995/9931790-1995-0001-0015.json,0.52,0.6221
산업진흥/5350101/1994/5350101-1994-0001-1127.json,0.4728,0.6415
산업진흥/5350101/1994/5350101-1994-0001-1140.json,0.4876,0.8102
산업진흥/5350101/1994/5350101-1994-0001-1148.json,0.3285,0.7397
산업진흥/5350101/1997/5350101-1997-0001-0732.json,0.3202,0.7005
산업진흥/5350101/1997/5350101-1997-0001-0739.json,0.3444,0.7296
산업진흥/5350101/1997/5350101-1997-0001-0769.json,0.5154,0.6835
산업진흥/5350101/1997/5350101-1997-0001-0770.json,0.2357,0.6759
산업진흥/5350101/1997/5350101-1997-0001-0773.json,0.5749,0.6936
산업진흥/5350101/1997/5350101-1997-0001-0775.json,0.2965,0.6453
산업진흥/5350101/1997/5350101-1997-0001-0804.json,0.3881,0.6147
산업진흥/5350101/1999/5350101-1999-0001-0776.json,0.2591,0.7902
산업진흥/5350101/1999/5350101-1999-0001-0782.json,0.2875,0.7988
산업진흥/5350101/2000/5350101-2000-0001-0712.json,0.2959,0.6475
산업진흥/5350101/2000/5350101-2000-0001-0717.json,0.353,0.7573
산업진흥/5350101/2001/5350101-2001-0001-1282.json,0.5309,0.8705
산업진흥/5350101/2001/5350101-2001-0001-1306.json,0.4539,0.6279
산업진흥/5350101/2001/5350101-2001-0001-1347.json,0.1472,0.7985
산업진흥/5350101/2001/5350101-2001-0001-1357.json,0.4239,0.7856
산업진흥/5350101/2002/5350101-2002-0001-1308.json,0.4745,0.7167
산업진흥/5350101/2002/5350101-2002-0001-1360.json,0.5613,0.8282
산업진흥/5350101/2002/5350101-2002-0001-1373.json,0.5724,0.8264
산업진흥/5350101/2002/5350101-2002-0001-1375.json,0.3863,0.7984
산업진흥/5350101/2002/5350101-2002-0001-1396.json,0.4327,0.7578
산업진흥/5350101/2003/5350101-2003-0001-1123.json,0.4943,0.8242
산업진흥/5350101/2003/5350101-2003-0001-1214.json,0.5906,0.7837
산업진흥/5350101/2003/5350101-2003-0001-1236.json,0.5199,0.8248
산업진흥/5350101/2003/5350101-2003-0001-1237.json,0.4193,0.8158
산업진흥/5350102/1999/5350102-1999-0001-0056.json,0.4754,0.7563
산업진흥/5350114/1994/5350114-1994-0001-0078.json,0.5729,0.7098
산업진흥/5350114/1996/5350114-1996-0001-0129.json,0.3521,0.818
산업진흥/5350114/1996/5350114-1996-0001-0140.json,0.2293,0.6778
산업진흥/5350114/1996/5350114-1996-0001-0141.json,0.2592,0.8735
산업진흥/5350114/1997/5350114-1997-0001-0087.json,0.2558,0.6879
산업진흥/5350114/1997/5350114-1997-0001-0092.json,0.2858,0.7169
산업진흥/5350114/1998/5350114-1998-0001-0106.json,0.213,0.7349
상.하수도관리/5350119/2011/5350119-2011-0001-0014.json,0.4028,0.2651
인.허가/5350109/1994/5350109-1994-0001-0350.json,0.4006,0.8315
인.허가/5350109/1994/5350109-1994-0001-0357.json,0.4602,0.7659
인.허가/5350109/1994/5350109-1994-0001-0377.json,0.55,0.6134
인.허가/5350109/1995/5350109-1995-0001-2695.json,0.4358,0.7016
인.허가/5350109/1995/5350109-1995-0001-2734.json,0.6185,0.6969
인.허가/5350109/1995/5350109-1995-0001-2739.json,0.4839,0.8067
인.허가/5350109/1995/5350109-1995-0001-2744.json,0.3908,0.5689
인.허가/5350109/1995/5350109-1995-0001-2775.json,0.4532,0.7288
인.허가/5350109/1995/5350109-1995-0001-2786.json,0.3567,0.6397
인.허가/5350109/1995/5350109-1995-0001-2812.json,0.582,0.6138
인.허가/5350109/1995/5350109-1995-0001-2852.json,0.5377,0.6569
인.허가/5350109/1995/5350109-1995-0001-2875.json,0.2734,0.6591
인.허가/5350109/1995/5350109-1995-0001-2912.json,0.4,0.6726
인.허가/5350109/1995/5350109-1995-0001-2925.json,0.0651,0.8309
인.허가/5350109/1995/5350109-1995-0001-2939.json,0.2194,0.7447
인.허가/5350109/1995/5350109-1995-0001-2940.json,0.4638,0.6912
인.허가/5350109/1996/5350109-1996-0001-2557.json,0.4424,0.6805
인.허가/5350109/1996/5350109-1996-0001-2558.json,0.1772,0.605
인.허가/5350109/1996/5350109-1996-0001-2605.json,0.3328,0.6504
인.허가/5350109/1996/5350109-1996-0001-2630.json,0.5843,0.7006
인.허가/5350109/1996/5350109-1996-0001-2638.json,0.1484,0.6732
인.허가/5350109/1996/5350109-1996-0001-2677.json,0.3646,0.7007
인.허가/5350109/1996/5350109-1996-0001-2767.json,0.5977,0.7058
인.허가/5350109/1996/5350109-1996-0001-2786.json,0.1619,0.6822
인.허가/5350109/1996/5350109-1996-0001-2788.json,0.2135,0.6308
인.허가/5350109/1996/5350109-1996-0001-2803.json,0.3927,0.7552
인.허가/5350109/1996/5350109-1996-0001-2896.json,0.2784,0.669
인.허가/5350109/1996/5350109-1996-0001-2903.json,0.2601,0.6588
인.허가/5350109/1996/5350109-1996-0001-2907.json,0.138,0.6538
인.허가/5350109/1996/5350109-1996-0001-2948.json,0.5047,0.7013
인.허가/5350109/1996/5350109-1996-0001-2994.json,0.2354,0.7276
인.허가/5350109/1997/5350109-1997-0001-2592.json,0.2819,0.6955
인.허가/5350109/1997/5350109-1997-0001-2625.json,0.2518,0.6572
인.허가/5350109/1997/5350109-1997-0001-2729.json,0.2524,0.7382
인.허가/5350109/1997/5350109-1997-0001-2743.json,0.1278,0.6625
인.허가/5350109/1997/5350109-1997-0001-2760.json,0.2403,0.7203
인.허가/5350109/1997/5350109-1997-0001-2763.json,0.3355,0.7244
인.허가/5350109/1997/5350109-1997-0001-2765.json,0.1779,0.7933
인.허가/5350109/1997/5350109-1997-0001-2780.json,0.1888,0.8181
인.허가/5350109/1997/5350109-1997-0001-2809.json,0.2332,0.7487
인.허가/5350109/1997/5350109-1997-0001-2822.json,0.305,0.6729
인.허가/5350109/1997/5350109-1997-0001-2832.json,0.278,0.704
인.허가/5350109/1997/5350109-1997-0001-2932.json,0.5464,0.7748
인.허가/5350109/1997/5350109-1997-0001-2960.json,0.3776,0.6737
인.허가/5350109/1997/5350109-1997-0001-2987.json,0.3628,0.6551
인.허가/5350109/1997/5350109-1997-0001-3000.json,0.3508,0.6775
인.허가/5350109/1998/5350109-1998-0001-2493.json,0.2753,0.6886
인.허가/5350109/1998/5350109-1998-0001-2520.json,0.4309,0.7034
인.허가/5350109/1998/5350109-1998-0001-2521.json,0.2655,0.7815
인.허가/5350109/1998/5350109-1998-0001-2522.json,0.2901,0.8861
인.허가/5350109/1998/5350109-1998-0001-2523.json,0.5074,0.5977
인.허가/5350109/1998/5350109-1998-0001-2527.json,0.1972,0.8619
인.허가/5350109/1998/5350109-1998-0001-2535.json,0.3572,0.6406
인.허가/5350109/1998/5350109-1998-0001-2553.json,0.3434,0.8126
인.허가/5350109/1998/5350109-1998-0001-2557.json,0.3362,0.8472
